0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:43:20 +0530] "GET /Login-Register/register.jsp HTTP/1.1" 200 749
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:43:20 +0530] "GET /Login-Register/style.css HTTP/1.1" 200 1459
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:43:20 +0530] "GET /Login-Register/background.png HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:43:28 +0530] "GET /Login-Register/index.html HTTP/1.1" 200 767
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:43:28 +0530] "GET /Login-Register/indexStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:43:28 +0530] "GET /Login-Register/background.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:43:31 +0530] "GET /Login-Register/register.jsp HTTP/1.1" 200 749
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:43:37 +0530] "GET /Login-Register/register.jsp HTTP/1.1" 200 749
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:44:18 +0530] "GET /Login-Register/register.jsp HTTP/1.1" 200 749
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:44:18 +0530] "GET /Login-Register/style.css HTTP/1.1" 200 1459
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:44:19 +0530] "GET /Login-Register/register.jsp HTTP/1.1" 200 749
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:44:19 +0530] "GET /Login-Register/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:44:39 +0530] "GET /Login-Register/register.jsp HTTP/1.1" 200 749
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:44:39 +0530] "GET /Login-Register/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:45:39 +0530] "GET /Login-Register/register.jsp HTTP/1.1" 200 749
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:45:39 +0530] "GET /Login-Register/style.css HTTP/1.1" 200 1481
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:45:39 +0530] "GET /Login-Register/background.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:45:41 +0530] "GET /Login-Register/register.jsp HTTP/1.1" 200 749
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:45:41 +0530] "GET /Login-Register/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:46:29 +0530] "GET /Login-Register/register.jsp HTTP/1.1" 200 749
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:46:29 +0530] "GET /Login-Register/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:46:31 +0530] "GET /Login-Register/register.jsp HTTP/1.1" 200 749
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:46:50 +0530] "GET /Login-Register/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:46:50 +0530] "GET /Login-Register/indexStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:46:53 +0530] "GET /Login-Register/register.jsp HTTP/1.1" 200 749
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:46:53 +0530] "GET /Login-Register/style.css HTTP/1.1" 200 1470
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:47:48 +0530] "GET /Login-Register/register.jsp HTTP/1.1" 200 749
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:47:48 +0530] "GET /Login-Register/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:47:48 +0530] "GET /Login-Register/background.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:48:52 +0530] "GET /Login-Register/register.jsp HTTP/1.1" 200 749
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:48:52 +0530] "GET /Login-Register/style.css HTTP/1.1" 200 1475
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:49:27 +0530] "GET /Login-Register/register.jsp HTTP/1.1" 200 749
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:49:27 +0530] "GET /Login-Register/style.css HTTP/1.1" 200 1440
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:49:27 +0530] "GET /Login-Register/background.png HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:49:31 +0530] "GET /Login-Register/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:49:32 +0530] "GET /Login-Register/indexStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:49:35 +0530] "GET /Login-Register/register.jsp HTTP/1.1" 200 749
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:49:35 +0530] "GET /Login-Register/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:53:17 +0530] "GET /Login-Register/login.jsp HTTP/1.1" 200 602
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:53:44 +0530] "GET /Login-Register/login.jsp HTTP/1.1" 200 661
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:53:44 +0530] "GET /Login-Register/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:53:44 +0530] "GET /Login-Register/background.png HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:53:50 +0530] "GET /Login-Register/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:53:50 +0530] "GET /Login-Register/indexStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:53:50 +0530] "GET /Login-Register/background.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:54:47 +0530] "GET /Login-Register/login.jsp HTTP/1.1" 200 661
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:54:47 +0530] "GET /Login-Register/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:54:47 +0530] "GET /Login-Register/background.png HTTP/1.1" 404 785
